model code|colour code|colour description|price|pricfrom|priceto|model year|incl tax|active
4A2A9G|A2A2|Brilliant Black|     0.00|20220615|99991231|2023|N|Y
4A2A9G|F4F4|Vesuvius Gray Metallic|     0.00|20220615|99991231|2023|N|Y
4A2A9G|H1H1|Manhattan Gray Metallic|     0.00|20220615|99991231|2023|N|Y
4A2A9G|L5L5|Floret Silver Metallic|     0.00|20220615|99991231|2023|N|Y
4A2A9G|N3N3|Carat Beige Metallic|     0.00|20220615|99991231|2023|N|Y
4A2A9G|Q0Q0|Individual paint finish, Audi exclusive| 57826.09|20220615|99991231|2023|N|Y
4A2A9G|T9T9|Ibis White|     0.00|20220615|99991231|2023|N|Y
4A2A9G|Y1Y1|Tango Red Metallic|     0.00|20220615|99991231|2023|N|Y
4A2A9G|Z7Z7|Chronos Gray|     0.00|20220615|99991231|2023|N|Y
4A2AUA|0E0E|Myth Black Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|2D2D|Navarra Blue Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|2L2L|Typhoon Gray Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|2Y2Y|Glacier White Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|5U5U|Firmament Blue Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|6I6I|Ultra Blue Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|6Y6Y|Daytona Gray Pearlescent| 15973.91|20220615|99991231|2023|N|Y
4A2AUA|8C8C|Seville Red Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|A2A2|Brilliant Black|     0.00|20220615|99991231|2023|N|Y
4A2AUA|F4F4|Vesuvius Gray Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|H1H1|Manhattan Gray Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|L5L5|Floret Silver Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|N3N3|Carat Beige Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|Q0Q0|Individual paint finish, Audi exclusive| 57826.09|20220615|99991231|2023|N|Y
4A2AUA|T9T9|Ibis White|     0.00|20220615|99991231|2023|N|Y
4A2AUA|Y1Y1|Tango Red Metallic|     0.00|20220615|99991231|2023|N|Y
4A2AUA|Z7Z7|Chronos Gray Metallic|     0.00|20220615|99991231|2023|N|Y
4A2C9G|0E0E|Myth Black Metallic|     0.00|20230803|99991231|2024|N|Y
