model code|option code|option description|price|pricfrom|priceto|model year|incl_tax|active|deleted|standard
4A2AUA|PCV|Park Assist package with park assist plu|               19130.43|20220615|99991231|2023|N|Y|N|N
4A2AUA|PCH|Lane change assist incl. pre sense rear|               12721.74|20220615|99991231|2023|N|Y|N|N
4A2AUA|KS1|Head-up display|               21852.17|20220615|99991231|2023|N|Y|N|N
4A2AUA|I56|255/35 R 21 tyres|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|GS5|Operating buttons in Black gloss|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|GH2|quattro with sports differential|               25017.39|20220615|99991231|2023|N|Y|N|N
4A2AUA|GB1|LTE support for Audi phone box|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|F57|Wheels, 5-V-spoke dynamic style, Graphit|               47826.09|20220615|99991231|2023|N|Y|N|N
4A2AUA|C1S|20" wheel, 5-spoke V-style,Contrast Gray|               31304.35|20220615|99991231|2023|N|Y|N|N
4A2AUA|QK1|With multifunction camera|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|QQ2|Contour ambient lighting, multi-colour|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|S2S|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|S3G|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|S3S|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|S7K|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|SA3|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|SA7|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|SA9|Production code|                   0.00|20220805|99991231|2023|N|Y|N|Y
4A2AUA|SC4|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|UE8|USB ports with charging function in rear|                2608.70|20220615|99991231|2023|N|Y|N|N
4A2AUA|WFA|Comfort package|               26086.96|20220615|99991231|2023|N|Y|N|N
4A2AUA|WSX|Sports package|               25391.30|20220615|99991231|2023|N|Y|N|N
4A2AUA|1BE|Sports suspension|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|1BK|adaptive air suspension|               31591.30|20220615|99991231|2023|N|Y|N|N
4A2AUA|1D4|Trailer hitch|                8695.65|20220615|99991231|2023|N|Y|N|N
4A2AUA|1D9|Trailer hitch w/trailer maneuvering sys.|               18904.35|20220615|99991231|2023|N|Y|N|N
4A2AUA|2ZM|Leather-wrapped multi-function steering|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|3FB|Panoramic glass sunroof|               19173.91|20220615|99991231|2023|N|Y|N|N
4A2AUA|3Y5|Elec. sunshade the rear wind., man. suns|                7486.96|20220615|99991231|2023|N|Y|N|N
4A2AUA|42R|19" Wheels, 5-double-spoke,Contrast Gray|               17826.09|20220615|99991231|2023|N|Y|N|N
4A2AUA|4A3|Seat heaters in front|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|4E7|Luggage compartment lid, electrically op|                7765.22|20220615|99991231|2023|N|Y|N|N
4A2AUA|4X4|Side airbags in front,rear,curtain|                7034.78|20220615|99991231|2023|N|Y|N|N
4A2AUA|4ZB|High-Gloss Styling package|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|510|STANDARD AFP - 60(MON)/ 100000(KM)|               69914.00|20221201|99991231|2023|N|Y|N|N
4A2AUA|9ZE|Audi phone box|                6260.87|20220615|99991231|2023|N|Y|N|N
4A2AUA|9VS|Bang & Olufsen Premium Sound System|               13617.39|20220615|99991231|2023|N|Y|N|N
4A2AUA|9TG|LED lights projection in front door|                1826.09|20220615|99991231|2023|N|Y|N|N
4A2AUA|9R1|Night vision assistant|               33852.17|20220615|99991231|2023|N|Y|N|N
4A2AUA|9AQ|3-zone climate control system|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|8X1|Headlamp washer system|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2AUA|8T5|ACC with efficiency, swerve and turn ass|               20060.87|20220615|99991231|2023|N|Y|N|N
4A2AUA|7W1|Audi pre sense basic|                4121.74|20220615|99991231|2023|N|Y|N|N
4A2AUA|7TL|Inlays in Gray Brown Fine Grain Ash|               11504.35|20220615|99991231|2023|N|Y|N|N
4A2AUA|6K8|Audi pre sense front|                7217.39|20220615|99991231|2023|N|Y|N|N
4A2AUA|6I6|Active lane assist with emergency assist|                7078.26|20220615|99991231|2023|N|Y|N|N
4A2AUA|5ZC|Variable head restraints for front seats|                2191.30|20220615|99991231|2023|N|Y|N|N
4A2AUA|510|STANDARD AFP - 60(MON)/ 100000(KM)|               66044.00|20240401|99991231|2024|N|Y|N|N
4A2C9G|9TG|Entry LED with logo projection, front|                2347.83|20230803|99991231|2024|N|Y|N|N
4A2C9G|9VS|Bang & Olufsen 3D Premium sound system|               20695.65|20230803|99991231|2024|N|Y|N|N
4A2C9G|9ZE|Audi phone box|                9043.48|20230803|99991231|2024|N|Y|N|N
4A2C9G|C1S|Wheels, 5-V-spoke, Graphite Gray, gloss|               18000.00|20230803|99991231|2024|N|Y|N|N
4A2C9G|GB1|LTE support for Audi phone box|                   0.00|20230805|99991231|2024|N|Y|N|Y
4A2C9G|GS5|Accent surfaces and operating buttons in|                6086.96|20230803|99991231|2024|N|Y|N|N
4A2C9G|GZ2|Power latching for doors|               11478.26|20230803|99991231|2024|N|Y|N|N
4A2C9G|KS1|Head-up display|               26000.00|20230803|99991231|2024|N|Y|N|N
4A2C9G|N2R|Valcona leather with S embossing|               24086.96|20230803|99991231|2024|N|Y|N|N
4A2C9G|N5D|Valcona leather upholstery and trim|               24086.96|20230803|99991231|2024|N|Y|N|N
4A2C9G|N5J|Dinamica microfiber/leather combination|                6347.83|20230803|99991231|2024|N|Y|N|N
4A2C9G|PCC|Tour assistance package|               36260.87|20230803|99991231|2024|N|Y|N|N
4A2C9G|PCH|Lane change warning incl. Audi pre sense|               16695.65|20230803|99991231|2024|N|Y|N|N
4A2C9G|PCZ|Premium package for Taiwan without KA6|               19217.39|20230803|99991231|2024|N|Y|N|N
4A2C9G|PGB|Comfort key incl. sensor-controlled lugg|               15043.48|20230803|99991231|2024|N|Y|N|N
4A2C9G|PX6|No Option Description - Contact VWSA IT|               15217.39|20230803|99991231|2024|N|Y|N|N
4A2C9G|PXC|HD Matrix LED headlamps and LED rear com|               29565.22|20230803|99991231|2024|N|Y|N|N
4A2C9G|PXI|Tinted HD Matrix LED headlamps, LED rear|               50000.00|20230803|99991231|2024|N|Y|N|N
4A2C9G|Q1D|Sport seats, front|                6347.83|20230803|99991231|2024|N|Y|N|N
4A2C9G|QE1|Storage and Luggage Compartment package|                1478.26|20230803|99991231|2024|N|Y|N|N
4A2C9G|QQ2|Ambient lighting package plus|               10260.87|20230803|99991231|2024|N|Y|N|N
4A2C9G|UE8|USB ports with charging function in rear|                2782.61|20230803|99991231|2024|N|Y|N|N
4A2C9G|V97|No Option Description - Contact VWSA IT|               14434.78|20230803|99991231|2024|N|Y|N|N
4A2C9G|WQS|S line interior|                1739.13|20230803|99991231|2024|N|Y|N|N
4A2C9G|1D4|Trailer hitch|               17826.09|20230803|99991231|2024|N|Y|N|N
4A2C9G|1XP|Leather steering wheel, 3-spoke with mul|                7652.17|20230803|99991231|2024|N|Y|N|N
4A2C9G|2C7|Steering wheel adjustment, electric|                7217.39|20230803|99991231|2024|N|Y|N|N
4A2C9G|2PF|Sports contour leather-wrapped steering|                4260.87|20230803|99991231|2024|N|Y|N|N
4A2C9G|2V9|Air ionizer and aromatization|                8086.96|20230803|99991231|2024|N|Y|N|N
4A2C9G|2Z0|Elimination of model designation on rear|                   0.00|20230805|99991231|2024|N|Y|N|Y
4A2C9G|2Z7|Model designation on rear|                   0.00|20230808|99991231|2024|N|Y|N|Y
4A2C9G|3FB|Panoramic glass sunroof|               30000.00|20230803|99991231|2024|N|Y|N|N
4A2C9G|42R|19“Wheels,5-doublespoke style,Graph Gray|                1826.09|20230803|99991231|2024|N|Y|N|N
4A2C9G|4A3|Seat heating, front|                6869.57|20230803|99991231|2024|N|Y|N|N
4A2C9G|4A4|Seat heating, front and rear|               13652.17|20230803|99991231|2024|N|Y|N|N
4A2C9G|4E7|Luggage compartment lid, electrically|                9478.26|20230803|99991231|2024|N|Y|N|N
4A2C9G|9R1|Night vision assist|               40000.00|20230803|99991231|2024|N|Y|N|N
4A2C9G|9AQ|4-zone deluxe automatic air conditioning|               14434.78|20230803|99991231|2024|N|Y|N|N
4A2C9G|7TH|Dinamica microfiber decorative inserts,|               17826.09|20230803|99991231|2024|N|Y|N|N
4A2C9G|7HF|Upper and lower interior elements in lea|               25826.09|20230803|99991231|2024|N|Y|N|N
4A2C9G|7HD|Upper and lower interior elements in lea|               14347.83|20230803|99991231|2024|N|Y|N|N
4A2C9G|6K8|Autonomous Emergency Braking Front Assis|                7826.09|20230803|99991231|2024|N|Y|N|N
4A2C9G|6FJ|Exterior mirror housings in Black|                2086.96|20230803|99991231|2024|N|Y|N|N
4A2C9G|5ZC|Variable head restraints for the front s|                2695.65|20230803|99991231|2024|N|Y|N|N
